Name,Date,Close/Last,Volume,Open,High,Low
AAPL,11/12/21,149.99,63804010.00,148.43,150.40,147.48
AAPL,11/11/21,147.87,40999950.00,148.96,149.43,147.68
AAPL,11/10/21,147.92,65187090.00,150.02,150.13,147.85
AAPL,11/9/21,150.81,56787930.00,150.20,151.43,150.06
AAPL,11/8/21,150.44,55020870.00,151.41,151.57,150.16
AAPL,11/5/21,151.28,65463880.00,151.89,152.20,150.06
AAPL,11/4/21,150.96,60394620.00,151.58,152.43,150.64
AAPL,11/3/21,151.49,54511530.00,150.39,151.97,149.82
AAPL,11/2/21,150.02,69121990.00,148.66,151.57,148.65
AAPL,11/1/21,148.96,74588260.00,148.99,149.70,147.80
AAPL,10/29/21,149.80,124953200.00,147.22,149.94,146.41
AAPL,10/28/21,152.57,100077900.00,149.82,153.17,149.72
AAPL,10/27/21,148.85,56094930.00,149.36,149.73,148.49
AAPL,10/26/21,149.32,60893400.00,149.33,150.84,149.01
AAPL,10/25/21,148.64,50720560.00,148.68,149.37,147.62
AAPL,10/22/21,148.69,58883440.00,149.69,150.18,148.64
AAPL,10/21/21,149.48,61420990.00,148.81,149.64,147.87
AAPL,10/20/21,149.26,58418790.00,148.70,149.75,148.12
AAPL,10/19/21,148.76,76378890.00,147.01,149.17,146.55
AAPL,10/18/21,146.55,85589180.00,143.45,146.84,143.16
AAPL,10/15/21,144.84,67940330.00,143.77,144.90,143.51
AAPL,10/14/21,143.76,69907100.00,142.11,143.88,141.51
AAPL,10/13/21,140.91,78762720.00,141.24,141.40,139.20
AAPL,10/12/21,141.51,73035860.00,143.23,143.25,141.04
AAPL,10/11/21,142.81,64452220.00,142.27,144.81,141.81
AAPL,10/8/21,142.90,58773160.00,144.03,144.18,142.56
AAPL,10/7/21,143.29,61732660.00,143.06,144.22,142.72
AAPL,10/6/21,142.00,83221120.00,139.47,142.15,138.37
AAPL,10/5/21,141.11,80861060.00,139.49,142.24,139.36
AAPL,10/4/21,139.14,98322010.00,141.76,142.21,138.27
AAPL,10/1/21,142.65,94639580.00,141.90,142.92,139.11
AAPL,9/30/21,141.50,89056660.00,143.66,144.38,141.28
AAPL,9/29/21,142.83,74602040.00,142.47,144.45,142.03
AAPL,9/28/21,141.91,108972300.00,143.25,144.75,141.69
AAPL,9/27/21,145.37,74150730.00,145.47,145.96,143.82
AAPL,9/24/21,146.92,53477870.00,145.66,147.47,145.56
AAPL,9/23/21,146.83,64838170.00,146.65,147.08,145.64
AAPL,9/22/21,145.85,76404340.00,144.45,146.43,143.70
AAPL,9/21/21,143.43,75833960.00,143.93,144.60,142.78
AAPL,9/20/21,142.94,123478900.00,143.80,144.84,141.27
AAPL,9/17/21,146.06,129868800.00,148.82,148.82,145.76
AAPL,9/16/21,148.79,68034150.00,148.44,148.97,147.22
AAPL,9/15/21,149.03,83281320.00,148.56,149.44,146.37
AAPL,9/14/21,148.12,109296300.00,150.35,151.07,146.91
AAPL,9/13/21,149.55,102404300.00,150.63,151.42,148.75
AAPL,9/10/21,148.97,140893200.00,155.00,155.48,148.70
AAPL,9/9/21,154.07,57305730.00,155.49,156.11,153.95
AAPL,9/8/21,155.11,74420210.00,156.98,157.04,153.98
AAPL,9/7/21,156.69,82278260.00,154.97,157.26,154.39
AAPL,9/3/21,154.30,57866070.00,153.76,154.63,153.09
AAPL,9/2/21,153.65,71171320.00,153.87,154.72,152.40
AAPL,9/1/21,152.51,80313710.00,152.83,154.98,152.34
AAPL,8/31/21,151.83,86453120.00,152.66,152.80,151.29
AAPL,8/30/21,153.12,90956720.00,149.00,153.49,148.61
AAPL,8/27/21,148.60,55802390.00,147.48,148.75,146.83
AAPL,8/26/21,147.54,48597200.00,148.35,149.12,147.51
AAPL,8/25/21,148.36,58991300.00,149.81,150.32,147.80
AAPL,8/24/21,149.62,48606430.00,149.45,150.86,149.15
AAPL,8/23/21,149.71,60131810.00,148.31,150.19,147.89
AAPL,8/20/21,148.19,60549630.00,147.44,148.50,146.78
AAPL,8/19/21,146.70,86960310.00,145.03,148.00,144.50
AAPL,8/18/21,146.36,86325990.00,149.80,150.72,146.15
AAPL,8/17/21,150.19,92229740.00,150.23,151.68,149.09
AAPL,8/16/21,151.12,103558800.00,148.54,151.19,146.47
AAPL,8/13/21,149.10,59375010.00,148.97,149.44,148.27
AAPL,8/12/21,148.89,73779110.00,146.19,149.05,145.84
AAPL,8/11/21,145.86,48493460.00,146.05,146.72,145.53
AAPL,8/10/21,145.60,69023080.00,146.44,147.71,145.30
AAPL,8/9/21,146.09,48908690.00,146.20,146.70,145.52
AAPL,8/6/21,146.14,54126810.00,146.35,147.11,145.63
AAPL,8/5/21,147.06,46397670.00,146.98,147.84,146.17
AAPL,8/4/21,146.95,56368270.00,147.27,147.79,146.28
AAPL,8/3/21,147.36,64786620.00,145.81,148.05,145.18
AAPL,8/2/21,145.52,62879960.00,146.36,146.95,145.25
AAPL,7/30/21,145.86,70440630.00,144.38,146.33,144.11
AAPL,7/29/21,145.64,56699480.00,144.69,146.55,144.58
AAPL,7/28/21,144.98,118931200.00,144.81,146.97,142.54
AAPL,7/27/21,146.77,104818600.00,149.12,149.21,145.55
AAPL,7/26/21,148.99,72434090.00,148.27,149.83,147.70
AAPL,7/23/21,148.56,71447420.00,147.55,148.72,146.92
AAPL,7/22/21,146.80,77338160.00,145.94,148.20,145.81
AAPL,7/21/21,145.40,74993460.00,145.53,146.13,144.63
AAPL,7/20/21,146.15,96350040.00,143.46,147.10,142.96
AAPL,7/19/21,142.45,121434600.00,143.75,144.07,141.67
AAPL,7/16/21,146.39,93251430.00,148.46,149.76,145.88
AAPL,7/15/21,148.48,106820300.00,149.24,150.00,147.09
